,city,date,fare,ride_id,driver_count,type
26,West Heidi,2019-03-14 23:46:50,24.4,4908573010166,28,Urban
27,Loganberg,2019-04-01 01:06:03,8.23,678728883160,23,Urban
28,Huntermouth,2019-02-10 23:32:13,25.79,1880379662035,37,Urban
29,South Latoya,2019-01-11 18:44:14,27.41,8662301917375,10,Urban
30,New Paulville,2019-03-18 22:54:11,25.05,5031803855561,44,Urban
31,Grahamburgh,2019-01-15 11:44:20,40.69,307021255892,61,Urban
32,Port Frank,2019-02-02 14:14:37,41.47,6746609056348,23,Urban
33,East Kaylahaven,2019-02-28 04:13:57,25.96,3662521920044,65,Urban
34,Rodneyfort,2019-02-03 00:48:41,44.86,2325699544245,34,Urban
35,South Karenland,2019-02-12 06:52:03,36.01,4015929454731,4,Urban
36,West Robert,2019-02-15 04:21:47,12.28,1442502460354,39,Urban
37,North Markport,2019-02-18 08:17:35,38.09,925012921771,22,Urban
38,Williamsview,2019-03-12 06:47:43,8.35,1940440908308,46,Urban
39,Richardfort,2019-02-24 08:40:38,13.93,5628545007794,38,Urban
40,New Kimberlyborough,2019-03-14 16:47:25,27.9,6750798028086,33,Urban
41,Reynoldsfurt,2019-03-25 14:33:27,34.06,6604420154219,67,Urban
42,South Karenland,2019-05-08 02:31:25,41.33,5688921852912,4,Urban
43,Rodneyfort,2019-04-25 20:57:43,21.7,8534600667414,34,Urban
44,Justinberg,2019-04-23 08:59:48,14.65,9878231118211,39,Urban
45,West Josephberg,2019-03-05 03:27:34,12.91,102684585771,45,Urban
46,South Karenland,2019-03-03 14:48:30,37.3,4104001937078,4,Urban
47,Leahton,2019-05-05 10:34:50,17.05,5846586406028,17,Urban
48,Martinezhaven,2019-03-19 15:31:26,5.3,264337981979,25,Urban
49,North Jason,2019-03-03 02:13:37,28.02,2670554129601,6,Urban
50,Jerryton,2019-03-03 17:50:23,28.08,6003411645536,64,Urban
51,Lake Scottton,2019-02-18 09:22:35,25.02,3909343123179,58,Urban
52,South Evanton,2019-02-14 05:55:36,42.5,9953662403430,11,Urban
53,Rogerston,2019-05-08 01:54:18,32.69,1643407853276,25,Urban
54,West Samuelburgh,2019-05-02 13:55:01,38.77,2931685225267,73,Urban
55,West Ericstad,2019-04-24 03:20:14,7.31,4292477885655,25,Urban
56,New Paulville,2019-03-10 10:45:24,4.43,1213919861269,44,Urban
57,Hurleymouth,2019-05-04 21:50:30,21.44,4039657784670,36,Urban
58,West Samuelburgh,2019-03-03 03:17:20,25.17,1781749929829,73,Urban
59,Joneschester,2019-03-01 18:48:35,34.71,3343258153690,39,Urban
60,New Paulville,2019-04-03 07:51:03,32.7,9562561279062,44,Urban
61,Simpsonburgh,2019-01-19 23:06:27,15.83,233191052705,21,Urban
62,Port Angela,2019-04-17 06:23:18,16.34,7120534266772,67,Urban
63,West Ericstad,2019-04-04 13:03:16,28.52,6432849151942,25,Urban
64,New Kimberlyborough,2019-03-16 01:38:48,17.19,2770472867019,33,Urban
65,Joneschester,2019-01-30 17:41:45,36.78,1664032953575,39,Urban
66,North Markport,2019-04-26 04:45:54,44.37,1628416621603,22,Urban
67,Hurleymouth,2019-03-22 11:19:58,32.85,8449290696111,36,Urban
68,Barajasview,2019-01-15 02:59:07,19.52,8268107272481,26,Urban
69,Grahamburgh,2019-04-06 13:48:54,23.87,1468249595739,61,Urban
70,South Michelleport,2019-03-02 09:54:50,33.12,813844006721,72,Urban
71,Loganberg,2019-01-07 19:02:38,16.26,9045377966666,23,Urban
72,West Christopherberg,2019-03-18 17:14:06,12.64,1061090771392,32,Urban
73,Rogerston,2019-02-23 19:13:13,14.04,7647140329924,25,Urban
74,Huntermouth,2019-02-24 07:57:03,39.12,928039410570,37,Urban
75,New Jacobville,2019-02-09 02:17:35,7.11,3855046930326,50,Urban
76,Lake Jonathanshire,2019-04-07 20:51:11,31.25,4441251834598,5,Urban
77,Port David,2019-03-17 14:42:43,33.11,1025683688009,7,Urban
78,Martinezhaven,2019-02-20 19:32:45,13.34,2760692818274,25,Urban
79,Port Frank,2019-04-19 19:35:08,26.47,6722706570956,23,Urban
80,Valentineton,2019-03-02 14:44:47,39.77,6770387655387,45,Urban
81,Hurleymouth,2019-03-03 11:28:17,36.31,167035392736,36,Urban
82,Carriemouth,2019-02-25 08:26:25,32.37,6918425016992,52,Urban
83,Port Samanthamouth,2019-04-16 18:34:44,9.2,8712247654732,57,Urban
84,Williamsstad,2019-01-23 17:51:24,19.62,125986195523,59,Urban
85,Royland,2019-01-07 02:23:48,24.5,3620854074841,64,Urban
86,New Jacobville,2019-01-05 05:02:35,34.11,2828521502876,50,Urban
87,Roberthaven,2019-03-06 22:56:31,12.38,3372963379040,47,Urban
88,South Evanton,2019-01-07 18:47:02,43.61,9122502715686,11,Urban
89,New Paulton,2019-05-03 12:09:12,21.67,9086555898522,44,Urban
90,Karenberg,2019-03-11 17:26:12,36.15,7796761531541,22,Urban
91,Rodneyfort,2019-01-30 12:34:42,16.99,5778730523049,34,Urban
92,East Kaylahaven,2019-04-04 02:35:55,23.18,57422927996,65,Urban
93,Huntermouth,2019-02-19 03:19:21,7.05,1616522979657,37,Urban
94,Barajasview,2019-01-23 13:23:53,37.68,4108452999906,26,Urban
95,Williamsstad,2019-03-29 21:43:04,35.58,4747780858464,59,Urban
96,North Jason,2019-03-08 20:06:21,25.21,3180078116241,6,Urban
97,Christopherfurt,2019-04-17 02:25:49,23.3,7819057680096,41,Urban
98,Liumouth,2019-01-11 17:15:17,36.78,1464517778842,69,Urban
99,Johnton,2019-01-17 02:12:01,32.19,8526302845313,27,Urban
100,West Angela,2019-03-08 01:08:42,41.06,6204872968343,48,Urban
101,Jerryton,2019-01-04 16:38:59,37.2,5637872466976,64,Urban
102,Erikaland,2019-02-18 07:47:15,20.62,3294151034077,37,Urban
103,North Jason,2019-02-07 07:27:09,20.0,473650019126,6,Urban
104,Lake Scottton,2019-05-05 11:21:47,18.77,405381774029,58,Urban
105,Simpsonburgh,2019-03-22 08:56:23,22.05,3495175591045,21,Urban
106,Raymondhaven,2019-03-12 06:59:59,16.98,6447701812060,11,Urban
107,West Robert,2019-04-05 03:18:56,44.58,4246011046064,39,Urban
108,North Jason,2019-03-18 10:10:37,6.41,2865826852282,6,Urban
109,Port Samanthamouth,2019-01-23 09:08:20,35.51,3116859378683,57,Urban
110,West Robert,2019-01-21 17:21:50,27.11,1369907297609,39,Urban
111,Jerryton,2019-01-05 15:36:46,37.91,1587079787234,64,Urban
112,Port Samanthamouth,2019-02-03 07:07:01,18.03,9292190648631,57,Urban
113,Liumouth,2019-01-15 07:55:34,14.55,4379351603939,69,Urban
114,West Heidi,2019-04-03 03:16:18,24.76,1820229390169,28,Urban
115,Loganberg,2019-01-21 16:26:37,22.86,1954301151475,23,Urban
116,Grahamburgh,2019-02-17 09:54:44,30.25,4047930050046,61,Urban
117,Raymondhaven,2019-05-06 23:22:49,25.76,8721024233275,11,Urban
118,Karenside,2019-01-25 15:35:18,14.52,2652359361585,5,Urban
119,Port Frank,2019-04-06 21:38:50,18.08,5474889861628,23,Urban
120,Leahton,2019-04-02 17:39:37,22.76,5808733389189,17,Urban
121,Port Samanthamouth,2019-04-22 03:32:37,29.67,3154062122440,57,Urban
122,Jerryton,2019-04-13 21:47:30,32.08,8499177647057,64,Urban
123,West Patrickchester,2019-03-07 15:47:07,23.66,3066093529306,25,Urban
124,West Samuelburgh,2019-03-03 16:07:24,27.48,100530645822,73,Urban
125,North Markport,2019-03-31 13:58:15,29.41,3093467204446,22,Urban
126,West Angela,2019-03-10 11:23:00,27.1,1365318639571,48,Urban
127,Grahamburgh,2019-03-12 02:44:01,22.97,4898014437105,61,Urban
128,South Michelleport,2019-01-08 09:38:14,23.77,4916160406018,72,Urban
129,East Kaylahaven,2019-04-02 07:05:54,9.67,2088463469235,65,Urban
130,South Karenland,2019-04-22 21:37:41,22.86,6728151431002,4,Urban
131,Lake Danielberg,2019-02-24 12:05:12,9.63,9149328902854,19,Urban
132,Justinberg,2019-04-26 08:41:02,8.83,1823094898600,39,Urban
133,Karenberg,2019-04-29 20:54:19,28.41,9052850267417,22,Urban
134,South Phillip,2019-02-09 16:46:59,7.89,3203192947260,38,Urban
135,North Madeline,2019-04-05 18:23:53,29.69,240702560536,19,Urban
136,New Kimberlyborough,2019-05-01 13:56:38,22.59,9250925234627,33,Urban
137,South Jack,2019-04-24 19:33:56,38.04,2197989679742,46,Urban
138,Erikaland,2019-03-11 02:19:28,27.39,132013691958,37,Urban
139,New Paulville,2019-03-27 02:18:33,7.29,7046764870599,44,Urban
140,Hurleymouth,2019-03-26 20:22:28,41.15,4707260150471,36,Urban
141,Liumouth,2019-04-12 03:38:12,43.34,7857233769715,69,Urban
142,Deanville,2019-05-01 21:53:42,8.28,592955132597,49,Urban
143,Karenside,2019-04-02 19:22:47,41.93,4093612247143,5,Urban
144,West Angela,2019-01-30 18:08:35,19.13,2078144834391,48,Urban
145,Liumouth,2019-02-01 20:17:16,24.81,5470070391967,69,Urban
146,Jerryton,2019-03-27 12:48:21,13.29,8959844730593,64,Urban
147,South Phillip,2019-05-04 09:10:40,28.3,8696571163934,38,Urban
148,Port Johnbury,2019-04-27 16:22:23,25.67,2746325666283,3,Urban
149,Raymondhaven,2019-02-08 23:57:16,5.7,3930029851451,11,Urban
150,Port David,2019-03-07 18:37:30,42.04,9905958460368,7,Urban
151,Robertport,2019-03-06 09:51:08,6.73,9679756863064,12,Urban
152,Loganberg,2019-03-16 11:46:25,23.99,9492898520301,23,Urban
153,Karenside,2019-04-19 10:17:18,36.01,1322743709668,5,Urban
154,Lake Jonathanshire,2019-03-09 23:45:55,19.89,2389495660448,5,Urban
155,Pattyland,2019-01-30 12:35:37,8.57,4688888414629,59,Urban
156,West Robert,2019-04-13 06:56:12,32.94,9603611942427,39,Urban
157,Justinberg,2019-04-12 05:27:42,17.03,8374760616644,39,Urban
158,West Josephberg,2019-02-09 14:07:54,4.42,8303790674379,45,Urban
159,North Markport,2019-01-21 11:49:50,27.68,4556759119631,22,Urban
160,Williamsview,2019-01-09 15:24:41,44.46,2195528331786,46,Urban
161,Raymondhaven,2019-02-01 05:51:10,13.86,8721051413299,11,Urban
162,South Latoya,2019-02-12 16:32:49,30.22,7388420725356,10,Urban
163,Deanville,2019-03-29 04:07:48,5.32,2612669233491,49,Urban
164,Amandaburgh,2019-03-05 02:15:38,26.28,906850928986,12,Urban
165,Jerryton,2019-01-27 14:46:26,29.08,6160527574249,64,Urban
166,Deanville,2019-03-24 00:26:39,30.55,5276110988605,49,Urban
167,West Anthony,2019-01-23 12:32:46,23.24,596601397101,70,Urban
168,West Anthony,2019-02-24 06:14:16,39.2,8491405671407,70,Urban
169,West Heidi,2019-03-30 10:46:05,22.41,1711351640331,28,Urban
170,Royland,2019-01-01 03:46:50,7.57,5815378003370,64,Urban
171,South Latoya,2019-03-02 06:06:17,10.35,338288902823,10,Urban
172,Johnton,2019-01-08 17:33:26,43.75,195318504552,27,Urban
173,West Angela,2019-01-30 18:46:42,32.31,7288678136396,48,Urban
174,Rodneyfort,2019-01-08 00:29:35,29.4,1184254566839,34,Urban
175,Royland,2019-01-02 20:08:57,10.19,668201417968,64,Urban
176,New Paulville,2019-01-31 05:32:33,20.8,1092839241319,44,Urban
177,Huntermouth,2019-04-09 20:23:11,35.11,3005607850321,37,Urban
178,New Paulville,2019-01-30 15:21:53,7.02,8504962667575,44,Urban
179,Justinberg,2019-05-03 02:49:42,36.06,929541725138,39,Urban
180,Port Angela,2019-03-31 15:22:26,30.77,662264490197,67,Urban
181,Port Angela,2019-04-09 14:34:27,11.9,7009806605900,67,Urban
182,Christopherfurt,2019-01-05 22:21:59,33.51,1901033209479,41,Urban
183,South Michelleport,2019-04-22 03:15:33,43.62,4663606096929,72,Urban
184,Williamsstad,2019-02-13 20:07:49,33.72,3796713212942,59,Urban
185,Lake Jonathanshire,2019-04-07 18:09:21,24.28,7796805191168,5,Urban
186,Robertport,2019-03-20 19:11:26,20.21,9630923585394,12,Urban
187,Port Angela,2019-02-08 16:30:53,30.38,5165542108944,67,Urban
188,Barajasview,2019-02-08 18:07:22,24.49,2612169071005,26,Urban
189,South Evanton,2019-01-24 07:08:44,17.83,2996657789222,11,Urban
190,Lake Danielberg,2019-02-13 11:01:59,43.96,100023890906,19,Urban
191,Royland,2019-04-19 00:05:32,25.4,9847755706013,64,Urban
192,Rodneyfort,2019-02-08 07:35:04,30.02,2497021545678,34,Urban
193,East Kaylahaven,2019-01-17 10:15:36,40.82,6342488049671,65,Urban
194,West Christopherberg,2019-01-17 14:30:56,9.04,5154845220316,32,Urban
195,New Jacobville,2019-01-15 15:27:56,27.24,3812959891670,50,Urban
196,Lake Jonathanshire,2019-01-02 14:14:50,13.89,424254840012,5,Urban
197,Port Samanthamouth,2019-04-25 09:50:07,25.5,1169125626263,57,Urban
198,West Heidi,2019-03-26 09:45:05,22.33,826311164930,28,Urban
199,Karenside,2019-04-14 05:11:17,13.13,3659608833762,5,Urban
200,Valentineton,2019-02-01 14:11:33,9.68,2132098607750,45,Urban
201,Raymondhaven,2019-02-23 11:13:25,4.24,294151163985,11,Urban
202,Carriemouth,2019-03-11 21:35:00,16.78,1519393006937,52,Urban
203,West Josephberg,2019-01-16 16:17:05,7.04,2507076269228,45,Urban
204,Port Samanthamouth,2019-03-01 08:58:12,43.25,1389178507955,57,Urban
205,Karenberg,2019-03-30 11:38:39,24.64,4539326805168,22,Urban
206,New Paulton,2019-03-10 01:07:52,28.0,1067162551534,44,Urban
207,Joneschester,2019-02-07 18:36:22,6.34,2605462716773,39,Urban
208,North Jasmine,2019-02-08 19:03:17,4.86,1276628602813,33,Urban
209,Valentineton,2019-02-27 00:40:41,25.4,6152363850717,45,Urban
210,New Paulton,2019-02-20 16:59:35,24.29,7738134446199,44,Urban
211,South Evanton,2019-04-28 08:15:09,22.86,7585355194527,11,Urban
212,North Jasmine,2019-01-22 17:25:25,31.68,712301571386,33,Urban
213,West Anthony,2019-03-17 00:30:34,35.42,4561324147940,70,Urban
214,Jerryton,2019-04-29 02:49:02,41.27,902958428816,64,Urban
215,Grahamburgh,2019-01-09 07:00:08,13.55,5462604726666,61,Urban
216,South Jack,2019-03-30 20:21:59,4.2,4817670763151,46,Urban
217,West Christopherberg,2019-01-23 21:23:07,30.93,5335678989278,32,Urban
218,Lake Scottton,2019-03-26 00:49:34,9.79,1827900502613,58,Urban
219,West Patrickchester,2019-01-14 01:15:16,24.82,5934939559689,25,Urban
220,Royland,2019-01-17 14:08:06,27.92,3147266211478,64,Urban
221,South Karenland,2019-02-14 14:00:56,39.53,2861641294573,4,Urban
222,Erikaland,2019-03-27 13:11:14,36.52,2195945483563,37,Urban
223,Rodneyfort,2019-03-20 10:40:26,42.57,6354946184466,34,Urban
224,Williamsstad,2019-05-01 01:26:21,26.81,4542954169892,59,Urban
225,Richardfort,2019-02-13 12:46:07,14.0,910050116494,38,Urban
226,West Ericstad,2019-01-25 12:29:55,20.03,3276480043173,25,Urban
227,Grahamburgh,2019-03-05 05:39:23,4.33,803728527251,61,Urban
228,North Barbara,2019-05-04 02:33:59,24.09,9275090570165,18,Urban
229,West Robert,2019-01-04 06:10:40,35.35,9554287895527,39,Urban
230,Justinberg,2019-03-14 10:46:12,36.32,6771691925128,39,Urban
231,South Michelleport,2019-03-03 16:13:34,41.62,2339775503972,72,Urban
232,North Jasmine,2019-02-22 01:56:17,25.33,1319966936025,33,Urban
233,Barajasview,2019-03-01 11:06:21,28.25,7225827834994,26,Urban
234,Carriemouth,2019-04-04 13:22:44,12.91,4276692439725,52,Urban
235,Amandaburgh,2019-02-24 23:10:49,43.66,6573820412437,12,Urban
236,Johnton,2019-03-27 00:10:12,18.89,3634068282558,27,Urban
237,Port Angela,2019-03-04 03:26:39,40.35,4930810733132,67,Urban
238,Rodneyfort,2019-05-06 22:21:58,27.16,3765495922622,34,Urban
239,Amandaburgh,2019-02-10 20:42:46,36.17,6455620849753,12,Urban
240,North Madeline,2019-02-25 04:32:14,13.58,4932836345153,19,Urban
241,West Angela,2019-03-01 11:13:34,30.3,9673529276907,48,Urban
242,Joneschester,2019-01-03 05:45:12,25.47,5540177253069,39,Urban
243,Joneschester,2019-01-03 01:03:50,17.97,5439310968925,39,Urban
244,South Phillip,2019-01-29 11:26:47,35.23,7418234487567,38,Urban
245,Liumouth,2019-03-30 03:13:00,4.66,3164443361610,69,Urban
246,West Anthony,2019-01-10 02:31:33,32.34,1479317039864,70,Urban
247,North Jason,2019-02-26 11:57:44,13.88,2494980859402,6,Urban
248,North Jason,2019-03-21 09:45:04,10.42,6601538015784,6,Urban
249,Carriemouth,2019-04-28 14:28:36,11.46,6991852632799,52,Urban
250,Huntermouth,2019-05-04 15:20:09,36.77,7186624075617,37,Urban
251,South Phillip,2019-04-18 06:03:51,39.95,9719024631848,38,Urban
252,South Jack,2019-02-01 22:32:07,28.37,3372008354124,46,Urban
253,Port Johnbury,2019-05-05 06:26:50,25.3,2541021070088,3,Urban
254,South Phillip,2019-05-06 05:05:46,43.43,2435201344352,38,Urban
255,North Jasmine,2019-04-10 11:45:30,38.24,2954995327773,33,Urban
256,South Michelleport,2019-01-27 19:38:12,15.45,7465262064048,72,Urban
257,North Madeline,2019-04-07 08:54:49,32.99,1819348275778,19,Urban
258,Christopherfurt,2019-02-24 02:56:43,40.33,9584185927129,41,Urban
259,Williamsstad,2019-02-23 17:42:40,4.68,9109973457376,59,Urban
260,Martinezhaven,2019-04-18 01:40:39,34.7,2023088734313,25,Urban
261,Simpsonburgh,2019-04-03 08:47:52,4.74,8556334983479,21,Urban
262,New Jacobville,2019-02-04 04:57:28,27.63,4329146429572,50,Urban
263,South Karenland,2019-02-12 03:42:21,5.78,8890444520323,4,Urban
264,Royland,2019-01-27 01:01:17,24.56,9656712323480,64,Urban
265,Karenside,2019-01-22 13:11:13,24.72,5326728612017,5,Urban
266,West Robert,2019-05-05 05:18:46,10.15,9392183503517,39,Urban
267,Port Samanthamouth,2019-04-27 08:48:36,12.84,5659906087636,57,Urban
268,West Samuelburgh,2019-03-07 01:51:26,14.55,7160360480942,73,Urban
269,New Kimberlyborough,2019-03-29 20:35:12,42.51,8296939454553,33,Urban
270,Port David,2019-03-27 11:56:08,15.64,5338482988567,7,Urban
271,Karenside,2019-03-18 12:48:08,36.96,7605140597934,5,Urban
272,New Paulton,2019-02-08 17:11:44,39.65,8505964159174,44,Urban
273,West Ericstad,2019-01-08 09:03:12,32.99,6688341118130,25,Urban
274,Port Johnbury,2019-03-21 02:20:43,32.8,5450926790120,3,Urban
275,Port Samanthamouth,2019-03-27 00:31:25,16.05,1412275851963,57,Urban
276,Port Frank,2019-01-08 23:51:25,42.13,2099160507410,23,Urban
277,Lake Jonathanshire,2019-04-06 11:30:32,16.84,6164453571846,5,Urban
278,West Angela,2019-02-05 18:53:14,36.37,7832434584190,48,Urban
279,Port Samanthamouth,2019-03-27 01:08:09,21.46,9991537657885,57,Urban
280,North Madeline,2019-03-04 17:20:57,21.38,9544488245764,19,Urban
281,Williamsview,2019-01-15 00:10:14,44.33,4627033032394,46,Urban
282,Grahamburgh,2019-02-21 06:55:34,22.65,816396119895,61,Urban
283,South Evanton,2019-03-06 03:56:20,30.87,5811915354455,11,Urban
284,Loganberg,2019-03-27 13:32:59,4.72,6120689505628,23,Urban
285,Carriemouth,2019-02-21 16:38:59,44.18,4528590417948,52,Urban
286,Port David,2019-01-02 11:51:32,7.45,6148349878448,7,Urban
287,West Heidi,2019-01-30 12:59:43,30.84,8936556138183,28,Urban
288,Williamsstad,2019-03-05 02:33:54,25.02,1313211827663,59,Urban
289,North Barbara,2019-02-04 08:12:17,42.59,4971254409177,18,Urban
290,Lake Danielberg,2019-03-17 19:23:29,10.18,4714399161872,19,Urban
291,North Markport,2019-04-13 07:37:48,20.09,4311213165551,22,Urban
292,Port Angela,2019-05-02 04:14:34,35.76,7945958687114,67,Urban
293,Port Samanthamouth,2019-03-15 15:08:17,25.97,7725957367534,57,Urban
294,West Angela,2019-05-03 09:04:03,24.07,7808186044800,48,Urban
295,Leahton,2019-02-21 20:37:56,24.13,6759666489394,17,Urban
296,North Markport,2019-04-28 04:34:56,40.46,2567890241480,22,Urban
297,Karenside,2019-03-09 03:50:21,40.86,1757540646784,5,Urban
298,Jerryton,2019-01-07 12:05:30,7.86,707330492023,64,Urban
299,South Michelleport,2019-04-14 01:20:33,37.93,1533269357947,72,Urban
300,Valentineton,2019-03-25 20:45:53,22.53,2335054032577,45,Urban
301,East Kaylahaven,2019-04-09 16:57:04,10.03,8036811423686,65,Urban
302,Erikaland,2019-04-13 12:26:02,25.22,4847173431127,37,Urban
303,West Christopherberg,2019-01-08 08:25:29,37.78,8767059547253,32,Urban
304,Pattyland,2019-02-01 22:43:37,32.03,2850242716720,59,Urban
305,Deanville,2019-02-08 23:33:35,21.22,4786811969861,49,Urban
306,West Christopherberg,2019-03-21 00:14:02,43.87,5085480897932,32,Urban
307,Justinberg,2019-03-23 06:28:19,30.58,3503303797228,39,Urban
308,Lake Danielberg,2019-02-24 19:34:24,34.82,2442272882270,19,Urban
309,Port Samanthamouth,2019-01-30 01:19:21,38.78,6119834234421,57,Urban
310,Lake Danielberg,2019-02-28 15:08:06,44.96,6319592522765,19,Urban
311,Deanville,2019-04-15 01:36:17,24.3,1065303121400,49,Urban
312,Pattyland,2019-02-15 15:13:00,44.03,1556659025684,59,Urban
313,Karenside,2019-01-27 08:52:04,7.65,473229767373,5,Urban
314,Port Angela,2019-04-22 16:43:04,7.91,6767308381142,67,Urban
315,West Angela,2019-04-14 18:40:42,32.77,4995732310908,48,Urban
316,South Karenland,2019-03-26 06:12:20,35.5,1482388219714,4,Urban
317,New Jacobville,2019-02-18 21:09:27,39.97,8028701861067,50,Urban
318,Roberthaven,2019-03-14 16:12:38,36.84,4123408925006,47,Urban
319,Lake Scottton,2019-04-24 11:54:24,5.31,9668336101351,58,Urban
320,Amandaburgh,2019-01-11 02:22:07,29.24,7279902884763,12,Urban
321,Reynoldsfurt,2019-05-05 17:38:07,14.95,1404730379464,67,Urban
322,West Patrickchester,2019-02-09 05:54:52,16.1,9112333244288,25,Urban
323,Christopherfurt,2019-04-13 08:29:32,37.22,3288049380261,41,Urban
324,South Evanton,2019-04-27 00:58:54,27.78,9377577941892,11,Urban
325,Lake Scottton,2019-02-07 05:08:45,10.76,4201252290232,58,Urban
326,Roberthaven,2019-03-14 15:24:44,35.27,4034558003134,47,Urban
327,Rodneyfort,2019-03-04 15:13:08,28.69,275697942784,34,Urban
328,West Josephberg,2019-02-17 06:28:32,41.49,2821329685338,45,Urban
329,Lake Jonathanshire,2019-03-21 00:18:34,37.95,8353656732934,5,Urban
330,Simpsonburgh,2019-02-05 16:02:12,25.58,2038696705617,21,Urban
331,West Heidi,2019-03-19 03:15:53,5.65,2474790192418,28,Urban
332,North Barbara,2019-03-23 20:59:03,23.76,5550267040448,18,Urban
333,North Jasmine,2019-03-11 21:03:21,37.93,4221378334009,33,Urban
334,West Gabriel,2019-04-29 01:22:02,36.7,4103498186235,57,Urban
335,Liumouth,2019-04-14 06:43:14,31.63,6166289534408,69,Urban
336,Carriemouth,2019-03-02 15:40:25,28.04,5138542326977,52,Urban
337,West Robert,2019-03-24 15:21:54,34.9,9472333753457,39,Urban
338,North Jasmine,2019-05-02 10:24:46,29.86,3198992800658,33,Urban
339,Carriemouth,2019-03-21 15:40:04,44.64,9560844852216,52,Urban
340,Lake Scottton,2019-02-15 06:49:06,22.75,8382035977413,58,Urban
341,North Madeline,2019-04-12 13:57:21,7.77,9273340476908,19,Urban
342,Lake Danielberg,2019-01-07 09:41:54,17.39,4355535554709,19,Urban
343,North Madeline,2019-04-30 16:02:17,37.48,2508127842117,19,Urban
344,Port David,2019-01-07 20:03:19,20.49,5846260665949,7,Urban
345,Royland,2019-02-11 03:46:39,30.41,7200099766471,64,Urban
346,West Samuelburgh,2019-02-20 01:05:29,19.65,6623791282079,73,Urban
347,West Angela,2019-03-18 12:08:51,34.05,5332405801414,48,Urban
348,West Patrickchester,2019-03-06 04:19:59,32.37,3684669591726,25,Urban
349,Port Frank,2019-02-05 10:34:09,20.1,4443074322856,23,Urban
350,New Kimberlyborough,2019-02-09 05:48:26,39.55,6010050950112,33,Urban
351,Justinberg,2019-04-20 07:37:19,29.07,209654592347,39,Urban
352,West Angela,2019-04-18 12:07:32,16.18,5770095626762,48,Urban
353,Justinberg,2019-03-10 09:19:12,37.89,5563129650174,39,Urban
354,Valentineton,2019-01-10 17:29:33,19.91,774511223608,45,Urban
355,Williamsview,2019-04-07 00:32:37,18.92,23948941587,46,Urban
356,South Jack,2019-01-31 02:51:29,21.75,6971155853312,46,Urban
357,Port Frank,2019-02-18 18:49:51,39.06,7301845642275,23,Urban
358,Leahton,2019-02-13 11:40:59,16.79,4744794513785,17,Urban
359,South Michelleport,2019-02-22 07:44:56,22.52,8522744579472,72,Urban
360,South Karenland,2019-04-25 14:44:55,24.86,1307706550174,4,Urban
361,Richardfort,2019-02-16 13:52:19,17.92,820639054416,38,Urban
362,Williamsstad,2019-04-16 23:07:08,23.12,969457753191,59,Urban
363,South Michelleport,2019-02-12 07:41:25,27.7,5582884622172,72,Urban
364,West Patrickchester,2019-04-13 19:49:03,33.33,1834060234971,25,Urban
365,Martinezhaven,2019-04-18 18:37:14,5.81,2124254219877,25,Urban
366,North Jason,2019-01-23 22:51:26,21.95,6701800897657,6,Urban
367,North Jason,2019-04-18 12:19:12,22.42,4927790361844,6,Urban
368,Lake Scottton,2019-05-03 22:33:04,9.01,1289762706583,58,Urban
369,West Christopherberg,2019-03-01 21:33:11,11.97,6422545841490,32,Urban
370,North Markport,2019-04-10 22:15:25,38.02,8834525256657,22,Urban
